id,name,category,category_zh,subtype,subtype_zh,status,status_zh,scale,scale_zh,images,lens_redshift,source_redshift,discovery_year,coordinates,tags,tags_zh,summary,summary_zh
wgd2038-4008,WGD 2038−4008,Lensed QSO,引力透镜类星体,Quadruply imaged quasar,四重成像类星体,Confirmed,已确认,Galaxy-scale,星系尺度,4,z_l ≈ 0.23,z_s ≈ 0.78,2018,20:38:xx −40:08:xx,QSO; quad; time-delay; TDCOSMO/STRIDES; environment,类星体; 四重像; 时间延迟; TDCOSMO/STRIDES; 环境,"A quadruply imaged quasar used in recent time-delay cosmography and lens-environment studies. Suitable for collecting imaging, spectroscopy, time-delay, LOS, and lens-modelling references.",四重成像类星体，常用于时间延迟宇宙学和透镜环境研究。适合作为汇总成像、光谱、时延、视线结构和透镜建模文献的数据条目。
des-j0408-5354,DES J0408−5354,Lensed QSO,引力透镜类星体,Quadruply imaged quasar,四重成像类星体,Confirmed,已确认,Galaxy-scale,星系尺度,4,z_l ≈ 0.60,z_s ≈ 2.38,2017,04:08:xx −53:54:xx,QSO; quad; time-delay; STRIDES; DES,类星体; 四重像; 时间延迟; STRIDES; DES,A STRIDES/DES lensed quasar with time-delay and environment analyses. Useful as a data-card template for systems with both imaging and monitoring data.,DES/STRIDES 发现并研究的四重成像类星体，已有时延和环境分析。适合展示同时具有成像、监测和视线环境信息的系统。
he0435-1223,HE 0435−1223,Lensed QSO,引力透镜类星体,Quadruply imaged quasar,四重成像类星体,Confirmed,已确认,Galaxy-scale,星系尺度,4,z_l ≈ 0.45,z_s ≈ 1.69,2002,04:38:14 −12:17:14,QSO; quad; time-delay; H0LiCOW; TDCOSMO,类星体; 四重像; 时间延迟; H0LiCOW; TDCOSMO,"A classic H0LiCOW/TDCOSMO system with extensive imaging, time-delay, lens-modelling, kinematics, and LOS analyses.",经典 H0LiCOW/TDCOSMO 系统，具有丰富的成像、时延、透镜建模、运动学和视线结构研究。
rxj1131-1231,RXJ1131−1231,Lensed QSO,引力透镜类星体,Quadruply imaged quasar,四重成像类星体,Confirmed,已确认,Galaxy-scale,星系尺度,4,z_l ≈ 0.30,z_s ≈ 0.65,2003,11:31:51 −12:31:58,QSO; quad; time-delay; microlensing; H0LiCOW,类星体; 四重像; 时间延迟; 微透镜; H0LiCOW,"A widely used time-delay lens with strong lensing, stellar kinematics, and accretion-disc microlensing studies.",常用于时间延迟宇宙学的四重成像类星体，同时也是吸积盘微引力透镜研究中的重要样本。
pg1115-080,PG 1115+080,Lensed QSO,引力透镜类星体,Quadruply imaged quasar,四重成像类星体,Confirmed,已确认,Galaxy-scale / group environment,星系尺度 / 星系群环境,4,z_l ≈ 0.31,z_s ≈ 1.72,1980,11:18:17 +07:45:58,QSO; quad; time-delay; classic lens,类星体; 四重像; 时间延迟; 经典透镜,"One of the early classic quadruply imaged quasars; often used in lens-modelling, time-delay, and group-environment discussions.",早期发现的经典四重成像类星体，经常用于透镜建模、时间延迟和星系群环境讨论。
wfi2033-4723,WFI 2033−4723,Lensed QSO,引力透镜类星体,Quadruply imaged quasar,四重成像类星体,Confirmed,已确认,Galaxy-scale,星系尺度,4,z_l ≈ 0.66,z_s ≈ 1.66,2004,20:33:42 −47:23:43,QSO; quad; time-delay; H0LiCOW; TDCOSMO,类星体; 四重像; 时间延迟; H0LiCOW; TDCOSMO,A time-delay cosmography system in the H0LiCOW/TDCOSMO sample with deep imaging and lens-environment constraints.,H0LiCOW/TDCOSMO 样本中的时间延迟透镜系统，具有深度成像和透镜环境约束。
b1608-656,B1608+656,Lensed QSO,引力透镜类星体,Quadruply imaged radio source,四重成像射电源,Confirmed,已确认,Galaxy-scale,星系尺度,4,z_l ≈ 0.63,z_s ≈ 1.39,1995,16:09:13 +65:32:28,QSO/radio source; quad; time-delay; classic lens,类星体/射电源; 四重像; 时间延迟; 经典透镜,A well-known radio time-delay lens used in early precision time-delay cosmography and mass-modelling work.,著名的射电时间延迟透镜系统，曾用于早期高精度时间延迟宇宙学和质量建模研究。
q0957-561,Q0957+561,Lensed QSO,引力透镜类星体,Doubly imaged quasar,双重成像类星体,Confirmed,已确认,Galaxy/cluster environment,星系 / 星系团环境,2,z_l ≈ 0.36,z_s ≈ 1.41,1979,10:01:20 +55:53:56,QSO; double; time-delay; classic lens,类星体; 双重像; 时间延迟; 经典透镜,"The first discovered gravitationally lensed quasar, historically important for time-delay measurements and lens-environment studies.",首个被发现的引力透镜类星体，在时间延迟测量和透镜环境研究中具有重要历史意义。
sn-refsdal,SN Refsdal,Lensed SN,引力透镜超新星,Core-collapse supernova,核心坍缩型超新星,Confirmed,已确认,Cluster-scale,星系团尺度,multiple resolved images,MACS J1149.5+2223 cluster,z_s ≈ 1.49,2014,MACS J1149 field,SN; cluster lens; time-delay; HST; Refsdal,超新星; 星系团透镜; 时间延迟; HST; Refsdal,"The first spatially resolved multiply imaged supernova. It is a reference case for cluster lens modelling, time-delay prediction, and cosmographic inference with lensed SNe.",首个空间分辨的多重成像超新星，是星系团透镜建模、时延预测和透镜超新星宇宙学研究的代表性系统。
iptf16geu,iPTF16geu / SN 2016geu,Lensed SN,引力透镜超新星,Type Ia supernova,Ia 型超新星,Confirmed,已确认,Galaxy-scale,星系尺度,4,z_l ≈ 0.216,z_s ≈ 0.409,2016,iPTF field,SN Ia; galaxy lens; quad; microlensing; standard candle,Ia 型超新星; 星系尺度透镜; 四重像; 微透镜; 标准烛光,"A resolved, strongly lensed Type Ia supernova. It is a compact galaxy-scale system useful for collecting light curves, spectroscopy, lens modelling, microlensing, and dust-extinction studies.",空间分辨的强透镜 Ia 型超新星，适合汇总光变曲线、光谱、透镜建模、微透镜和尘埃消光研究。
